author;comment;;;;;;;;;;;;;;;;
@Ajl_official8;Tah dele varel bapak aing;;;;;;;;;;;;;;;;
@f1kar110;Keren;;;;;;;;;;;;;;;;
@mebon1112;Tetap semangaaat kang dedi..klo di pokir korea selatan malah wajib militer.liat negara nya maju..ayoo kita juga bisa???;;;;;;;;;;;;;;;;
@selfirizkia3931;andai dikaltim ngadain begini juga,aku udh ikut ??;;;;;;;;;;;;;;;;
@HarnomanXr;Sy juga pengen??;;;;;;;;;;;;;;;;
@helwinovianti5909;Juara;;;;;;;;;;;;;;;;
@IndoNg-c6d;Semoga sehat terus pak;;;;;;;;;;;;;;;;
@FazriFazri-g6o;Asslamkum subhanalloh saya enggak bisa berkata kata lagi soal Bpk KDM.pokoknya Gubernur Jabar Istimewa peminpin yg hebat. terimakasih.;;;;;;;;;;;;;;;;
@NinaAnggara;Pk Gubernur ieu warga Lengkong tepatnya Kp.Selajambe RT 021/010 Desa.Lengkong Kec.Lengkong Kab.Sukanumi anu kena bencana pergeseran tanah 4 Desember 2024 tk Acan dikukumaha. Warga aruwih deui ka bumi anu tos raresak da tk Aya pilihan anu sanes, sebagian aya nu ngontrak karena trauma sanes ku se'eur acis,bahkan aya nu ngontrak karena tos tk gaduheun bumi da rusak parah,ancur.Tiap hujan was was. Kumaha atuh ieu th bapak nasib th meni diganggayong kieu??;;;;;;;;;;;;;;;;
@dhewanakula1100;Saya mau daftarkan anak di barak kang dedy gmana ya prosedurnya;;;;;;;;;;;;;;;;
@rininovianti9489;Kang Dedi punten,jgn ank2 j yg d'masukin barak,ank2 mah wajar mrka blm labil,msh muda blm ngrasain asam manis hidup,,,;;;;;;;;;;;;;;;;
Masukin jg para suami yg g bertanggung jawab kang;mrka udh tua tp masih j g bnr;ad yg main cewe;judol;kdrt dll;;;;;;;;;;;;;
"Barakan suami2 sengklek kang ??????""";;;;;;;;;;;;;;;;;
@octaindriawan6676;Rasanya pengen jadi tim khusunya bapak bantuin bapak sidak;;;;;;;;;;;;;;;;
@VolerAje;Maaf pak mau tnya klau di luar jawa,seperti dri NTT gitu bisa tdk yg pak anak kmi tirip di kodim di situ??;;;;;;;;;;;;;;;;
@hidayattmk1351;Gubernur bgini yg layak menjadi presiden,bkan yg plongo aj, pencitraan aj ,masuk ke got aj kerjanya.,.pak Dedi mntap?;;;;;;;;;;;;;;;;
@julianafatty1211;"Mantapp ..pak gub jabar ...usul buka lagi yg usia dewasa  anak yg mabuk  ""byk ....";;;;;;;;;;;;;;;;
@NanangSupandi-w5u;Tetap semangat bapak aing moga sehat slalu panjang umur dan murah rejekinya,,,, dan buat  bpk TNI  emang menayatu bersama rakyat dan tetap milik rakyat??????????;;;;;;;;;;;;;;;;
@imanchannel8738;Bapak aing;;;;;;;;;;;;;;;;
@agungprasetya2906;Bapa KDM punten, mau usul bapa. untuk pppk yg mau melaksanakan diklat sekiranya diklatnya sec online pak utk memangkas anggaran  dan efektivitas wkt. Hatur nuhun.;;;;;;;;;;;;;;;;
@Aryono-g6m;Kagn. Akumaumasuk. Barak. Militer  aku umur 7tahun;;;;;;;;;;;;;;;;
@EmmieKamari1313;Info dong bapa² ibu² Syarat untuk mendaftarkan anak ke barak militer bagaimana dan apa saja??? Terimakasih;;;;;;;;;;;;;;;;
@LiaRosmiati-p1l;Kalau dari luar daerah boleh ga  tuh;;;;;;;;;;;;;;;;
@IndraDSimanjuntak;Mantap pak;;;;;;;;;;;;;;;;
@nurlihusna9087;Kalau KDM jd Presiden.semua daerah akn mendapat sentuhan kabaikn kepedulian...yakin Rakyat sejahtera.;;;;;;;;;;;;;;;;
Tp pasti ada yg komplen.;;;;;;;;;;;;;;;;;
Para pejabat.ASN tdk bs neko2 lagi.;;;;;;;;;;;;;;;;;
